"","acceptedScientificName","acceptedTaxonKey","accessRights","adm1","associatedSequences","associatedTaxa","basisOfRecord","catalogNumber","class","classKey","cloc","collectionCode","continent","country","crawlId","created","datasetKey","day","dynamicProperties","elevation","elevationAccuracy","eventDate","eventRemarks","family","familyKey","fieldNumber","fullCountry","gbifID","genericName","genus","genusKey","geodeticDatum","georeferenceSources","habitat","higherClassification","higherGeography","http...unknown.org.habitatproperty","identificationID","identificationRemarks","identificationVerificationStatus","identifiedBy","identifier","individualCount","installationKey","institutionCode","ISO2","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","license","lifeStage","locality","locationRemarks","lon","modified","month","nomenclaturalCode","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","organismName","otherCatalogNumbers","phylum","phylumKey","preparations","protocol","publishingCountry","publishingOrgKey","recordedBy","references","rightsHolder","samplingProtocol","scientificName","sex","species","speciesKey","specificEpithet","taxonConceptID","taxonID","taxonKey","taxonomicStatus","taxonRank","verbatimLocality","verbatimTaxonRank","year","downloadDate","optional"
"1","Chilo partellus Swinhoe, 1885",1883200,NA,NA,NA,NA,"HUMAN_OBSERVATION","1815986","Insecta",216,"India",NA,NA,"India",25,NA,"c6b86c40-ff71-4e5e-902c-111f400d0d56",17,NA,NA,NA,"2018-09-17T00:00:00",NA,"Crambidae",8841,NA,"India","2598670083","Chilo","Chilo",1883132,"WGS84",NA,NA,"Animalia | Arthropoda | Insecta | Lepidoptera | Pyraloidea | Crambidae | Chilo | Chilo partellus Swinhoe, 1885",NA,"All","427662",NA,"Validated","Moinudheen","https://indiabiodiversity.org/observation/show/1815986",NA,"92b6f5e3-6a88-4ec9-a61c-c368b6775e20",NA,"IN",2598670083,"Animalia",1,NA,"2020-10-13T00:28:13.679+0000","2020-10-13T00:28:31.768+0000","2020-10-13T00:28:31.768+0000",11.386415,"http://creativecommons.org/licenses/by/4.0/legalcode",NA,NA,NA,76.700836,NA,9,NA,"https://indiabiodiversity.org/observation/show/1815986",NA,"PRESENT","Lepidoptera",797,"Chilo partellus",NA,"Arthropoda",54,NA,"DWC_ARCHIVE","IN","62431bdf-fa0c-452b-afce-be14884a47ff","Moinudheen",NA,NA,NA,"Chilo partellus Swinhoe, 1885",NA,"Chilo partellus",1883200,"partellus",NA,"270197",1883200,"ACCEPTED","SPECIES","Lovedale Rd, Fern Hill, Ooty, Tamil Nadu 643004, India",NA,2018,2020-10-16,TRUE
"3","BOLD:AAN5677",10526965,"Creative Commons - Share Alike","KwaZulu-Natal","https://www.ncbi.nlm.nih.gov/nuccore/MK566470",NA,"MATERIAL_SAMPLE",NA,"Insecta",216,"Mount Edgecombe, KwaZulu-Natal, South Africa",NA,NA,"South Africa",161,NA,"040c5662-da76-4782-a48e-cdea1892d14c",26,NA,NA,NA,"2016-08-26T00:00:00",NA,"Crambidae",8841,NA,"South Africa","2250844849","BOLD:AAN5677","Chilo",1883132,"WGS84","Google Earth",NA,NA,NA,NA,NA,"BOLD:AAN5677",NA,NA,"LSTEM064-18",NA,"fb5e4c2a-579c-434b-a446-3a665dd732ad",NA,"ZA",2250844849,"Animalia",1,"en","2020-09-03T03:46:09.404+0000","2020-09-05T05:53:10.455+0000","2020-09-05T05:53:10.455+0000",-29.7,"http://creativecommons.org/licenses/by/4.0/legalcode","ADULT","Mount Edgecombe","10km",31.05,NA,8,NA,"http://bins.boldsystems.org/index.php/Public_RecordView?processid=LSTEM064-18","Australian Museum, Sydney","PRESENT","Lepidoptera",797,NA,NA,"Arthropoda",54,NA,"DWC_ARCHIVE",NA,"b3bf3a83-1f68-4541-a03f-330d30d567f5","D.Y. Gillespie",NA,"Barcode of Life Datasystems",NA,"BOLD:AAN5677","MALE","Chilo partellus",1883200,NA,"http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAN5677","http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAN5677",10526965,"ACCEPTED","UNRANKED",NA,NA,2016,2020-10-16,TRUE
"5","Chilo partellus Swinhoe, 1885",1883200,"Creative Commons - Share Alike",NA,"https://www.ncbi.nlm.nih.gov/nuccore/KU687434",NA,"MATERIAL_SAMPLE","FEZA2","Insecta",216,"Hatay, Turkey",NA,NA,"Turkey",161,NA,"040c5662-da76-4782-a48e-cdea1892d14c",15,NA,85,0,"2015-04-15T00:00:00",NA,"Crambidae",8841,"FEZA2","Turkey","2250033910","Chilo","Chilo",1883132,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,"Feza Can Cengiz","GBMIX2733-16",NA,"fb5e4c2a-579c-434b-a446-3a665dd732ad",NA,"TR",2250033910,"Animalia",1,"en","2020-09-03T03:46:09.404+0000","2020-09-05T05:53:10.422+0000","2020-09-05T05:53:10.422+0000",36.202,"http://creativecommons.org/licenses/by/4.0/legalcode","ADULT","Hatay",NA,36.161,NA,4,NA,"http://bins.boldsystems.org/index.php/Public_RecordView?processid=GBMIX2733-16","Mustafa Kemal University","PRESENT","Lepidoptera",797,NA,NA,"Arthropoda",54,NA,"DWC_ARCHIVE",NA,"b3bf3a83-1f68-4541-a03f-330d30d567f5","Dr. Feza CAN CENGIZ",NA,"Barcode of Life Datasystems",NA,"Chilo partellus Swinhoe, 1885",NA,"Chilo partellus",1883200,"partellus",NA,NA,1883200,"ACCEPTED","SPECIES",NA,NA,2015,2020-10-16,TRUE
"14","Chilo partellus Swinhoe, 1885",1883200,NA,NA,"KU687442",NA,"PRESERVED_SPECIMEN",NA,"Insecta",216,"Turkey:Hatay, Turkey",NA,NA,"Turkey",128,"2016-09-28","ad43e954-dd79-4986-ae34-9ccdbd8bf568",15,NA,NA,NA,"2015-04-15T00:00:00",NA,"Crambidae",8841,NA,"Turkey","2307347680","Chilo","Chilo",1883132,"WGS84",NA,NA,"Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Holometabola;Lepidoptera;Glossata;Ditrysia;Pyraloidea;Crambidae;Crambinae;Chilo",NA,NA,NA,NA,NA,"Feza Can Cengiz","KU687442",NA,"9e4f3516-2b98-4700-a39a-3f109252508c",NA,"TR",2307347680,"Animalia",1,NA,"2019-08-05T13:47:28.081+0000","2020-10-07T14:08:19.000+0000","2020-10-07T14:08:19.000+0000",36.2,"http://creativecommons.org/licenses/by/4.0/legalcode",NA,"Turkey:Hatay",NA,36.16,"2016-09-28T00:00:00.000+0000",4,NA,"KU687442",NA,"PRESENT","Lepidoptera",797,NA,NA,"Arthropoda",54,NA,"DWC_ARCHIVE","GB","ada9d123-ddb4-467d-8891-806ea8d94230","Dr. Feza CAN CENGIZ","http://www.ebi.ac.uk/ena/data/view/KU687442",NA,NA,"Chilo partellus Swinhoe, 1885",NA,"Chilo partellus",1883200,"partellus",NA,"236792",1883200,"ACCEPTED","SPECIES",NA,NA,2015,2020-10-16,TRUE
"22","Chilo partellus Swinhoe, 1885",1883200,NA,"Oueme",NA,NA,"UNKNOWN","LSF/UAC1020","Insecta",216,"Aguigadji, Oueme, Benin, AFRICA","UAC","AFRICA","Benin",130,NA,"5e1d2d54-f5db-43ac-87c5-55a9f79ac718",NA,NA,NA,NA,"2014-04-01T00:00:00",NA,"Crambidae",8841,NA,"Benin","1042784273","Chilo","Chilo",1883132,"WGS84",NA,"Zones forestières, savanes,, zones humides, espaces agricoles",NA,NA,NA,NA,NA,NA,"Georg GOERGEN, Pascal DUPONT, Peter NEUENSCHWANDER","1020",NA,"842b6a28-624a-4ddc-a96e-04d0ce819fce","Laboratoire des Sciences Forestières (LSF/UAC)","BJ",1042784273,"Animalia",1,NA,"2020-08-28T21:17:56.666+0000","2020-09-01T16:10:15.250+0000","2020-09-01T16:10:15.250+0000",7.4833,"http://creativecommons.org/publicdomain/zero/1.0/legalcode",NA,"Aguigadji",NA,2.4333,NA,4,NA,"1020",NA,"PRESENT","Lepidoptera",797,NA,NA,"Arthropoda",54,NA,"DWC_ARCHIVE","BJ","b2db85d5-c5fe-4125-9e36-590a5f651829",NA,NA,NA,"Exhaustive field exploration","Chilo partellus Swinhoe, 1885",NA,"Chilo partellus",1883200,"partellus",NA,NA,1883200,"ACCEPTED","SPECIES",NA,NA,2014,2020-10-16,TRUE
"23","Chilo partellus Swinhoe, 1885",1883200,NA,"Zou",NA,NA,"UNKNOWN","LSF/UAC1031","Insecta",216,"Lokoli, Zou, Benin, AFRICA","UAC","AFRICA","Benin",130,NA,"5e1d2d54-f5db-43ac-87c5-55a9f79ac718",NA,NA,NA,NA,"2014-04-01T00:00:00",NA,"Crambidae",8841,NA,"Benin","1042784275","Chilo","Chilo",1883132,"WGS84",NA,"Zones forestières, savanes,, zones humides, espaces agricoles",NA,NA,NA,NA,NA,NA,"Georg GOERGEN, Pascal DUPONT, Peter NEUENSCHWANDER","1031",NA,"842b6a28-624a-4ddc-a96e-04d0ce819fce","Laboratoire des Sciences Forestières (LSF/UAC)","BJ",1042784275,"Animalia",1,NA,"2020-08-28T21:17:56.666+0000","2020-09-01T16:10:15.251+0000","2020-09-01T16:10:15.251+0000",7.0833,"http://creativecommons.org/publicdomain/zero/1.0/legalcode",NA,"Lokoli",NA,2.1,NA,4,NA,"1031",NA,"PRESENT","Lepidoptera",797,NA,NA,"Arthropoda",54,NA,"DWC_ARCHIVE","BJ","b2db85d5-c5fe-4125-9e36-590a5f651829",NA,NA,NA,"Exhaustive field exploration","Chilo partellus Swinhoe, 1885",NA,"Chilo partellus",1883200,"partellus",NA,NA,1883200,"ACCEPTED","SPECIES",NA,NA,2014,2020-10-16,TRUE
"24","Chilo partellus Swinhoe, 1885",1883200,NA,"Atlantique",NA,NA,"UNKNOWN","LSF/UAC1021","Insecta",216,"Ahozon, Atlantique, Benin, AFRICA","UAC","AFRICA","Benin",130,NA,"5e1d2d54-f5db-43ac-87c5-55a9f79ac718",NA,NA,NA,NA,"2014-04-01T00:00:00",NA,"Crambidae",8841,NA,"Benin","1042784292","Chilo","Chilo",1883132,"WGS84",NA,"Zones forestières, savanes,, zones humides, espaces agricoles",NA,NA,NA,NA,NA,NA,"Georg GOERGEN, Pascal DUPONT, Peter NEUENSCHWANDER","1021",NA,"842b6a28-624a-4ddc-a96e-04d0ce819fce","Laboratoire des Sciences Forestières (LSF/UAC)","BJ",1042784292,"Animalia",1,NA,"2020-08-28T21:17:56.666+0000","2020-09-01T16:10:15.241+0000","2020-09-01T16:10:15.241+0000",6.3833,"http://creativecommons.org/publicdomain/zero/1.0/legalcode",NA,"Ahozon",NA,2.1833,NA,4,NA,"1021",NA,"PRESENT","Lepidoptera",797,NA,NA,"Arthropoda",54,NA,"DWC_ARCHIVE","BJ","b2db85d5-c5fe-4125-9e36-590a5f651829",NA,NA,NA,"Exhaustive field exploration","Chilo partellus Swinhoe, 1885",NA,"Chilo partellus",1883200,"partellus",NA,NA,1883200,"ACCEPTED","SPECIES",NA,NA,2014,2020-10-16,TRUE
"25","Chilo partellus Swinhoe, 1885",1883200,NA,"Borgou",NA,NA,"UNKNOWN","LSF/UAC1030","Insecta",216,"Parakou, Borgou, Benin, AFRICA","UAC","AFRICA","Benin",130,NA,"5e1d2d54-f5db-43ac-87c5-55a9f79ac718",NA,NA,NA,NA,"2014-04-01T00:00:00",NA,"Crambidae",8841,NA,"Benin","1042784296","Chilo","Chilo",1883132,"WGS84",NA,"Zones forestières, savanes,, zones humides, espaces agricoles",NA,NA,NA,NA,NA,NA,"Georg GOERGEN, Pascal DUPONT, Peter NEUENSCHWANDER","1030",NA,"842b6a28-624a-4ddc-a96e-04d0ce819fce","Laboratoire des Sciences Forestières (LSF/UAC)","BJ",1042784296,"Animalia",1,NA,"2020-08-28T21:17:56.666+0000","2020-09-01T16:10:15.242+0000","2020-09-01T16:10:15.242+0000",9.35,"http://creativecommons.org/publicdomain/zero/1.0/legalcode",NA,"Parakou",NA,2.6166,NA,4,NA,"1030",NA,"PRESENT","Lepidoptera",797,NA,NA,"Arthropoda",54,NA,"DWC_ARCHIVE","BJ","b2db85d5-c5fe-4125-9e36-590a5f651829",NA,NA,NA,"Exhaustive field exploration","Chilo partellus Swinhoe, 1885",NA,"Chilo partellus",1883200,"partellus",NA,NA,1883200,"ACCEPTED","SPECIES",NA,NA,2014,2020-10-16,TRUE
"26","Chilo partellus Swinhoe, 1885",1883200,NA,"Atlantique",NA,NA,"UNKNOWN","LSF/UAC1023","Insecta",216,"Drabo Gbo, Atlantique, Benin, AFRICA","UAC","AFRICA","Benin",130,NA,"5e1d2d54-f5db-43ac-87c5-55a9f79ac718",NA,NA,NA,NA,"2014-04-01T00:00:00",NA,"Crambidae",8841,NA,"Benin","1042784305","Chilo","Chilo",1883132,"WGS84",NA,"Zones forestières, savanes,, zones humides, espaces agricoles",NA,NA,NA,NA,NA,NA,"Georg GOERGEN, Pascal DUPONT, Peter NEUENSCHWANDER","1023",NA,"842b6a28-624a-4ddc-a96e-04d0ce819fce","Laboratoire des Sciences Forestières (LSF/UAC)","BJ",1042784305,"Animalia",1,NA,"2020-08-28T21:17:56.666+0000","2020-09-01T16:10:15.199+0000","2020-09-01T16:10:15.199+0000",6.45,"http://creativecommons.org/publicdomain/zero/1.0/legalcode",NA,"Drabo Gbo",NA,2.35,NA,4,NA,"1023",NA,"PRESENT","Lepidoptera",797,NA,NA,"Arthropoda",54,NA,"DWC_ARCHIVE","BJ","b2db85d5-c5fe-4125-9e36-590a5f651829",NA,NA,NA,"Exhaustive field exploration","Chilo partellus Swinhoe, 1885",NA,"Chilo partellus",1883200,"partellus",NA,NA,1883200,"ACCEPTED","SPECIES",NA,NA,2014,2020-10-16,TRUE
"27","Chilo partellus Swinhoe, 1885",1883200,NA,"Atacora",NA,NA,"UNKNOWN","LSF/UAC1022","Insecta",216,"Bassila, Atacora, Benin, AFRICA","UAC","AFRICA","Benin",130,NA,"5e1d2d54-f5db-43ac-87c5-55a9f79ac718",NA,NA,NA,NA,"2014-04-01T00:00:00",NA,"Crambidae",8841,NA,"Benin","1042784306","Chilo","Chilo",1883132,"WGS84",NA,"Zones forestières, savanes,, zones humides, espaces agricoles",NA,NA,NA,NA,NA,NA,"Georg GOERGEN, Pascal DUPONT, Peter NEUENSCHWANDER","1022",NA,"842b6a28-624a-4ddc-a96e-04d0ce819fce","Laboratoire des Sciences Forestières (LSF/UAC)","BJ",1042784306,"Animalia",1,NA,"2020-08-28T21:17:56.666+0000","2020-09-01T16:10:15.199+0000","2020-09-01T16:10:15.199+0000",9.0166,"http://creativecommons.org/publicdomain/zero/1.0/legalcode",NA,"Bassila",NA,1.6666,NA,4,NA,"1022",NA,"PRESENT","Lepidoptera",797,NA,NA,"Arthropoda",54,NA,"DWC_ARCHIVE","BJ","b2db85d5-c5fe-4125-9e36-590a5f651829",NA,NA,NA,"Exhaustive field exploration","Chilo partellus Swinhoe, 1885",NA,"Chilo partellus",1883200,"partellus",NA,NA,1883200,"ACCEPTED","SPECIES",NA,NA,2014,2020-10-16,TRUE
"28","Chilo partellus Swinhoe, 1885",1883200,NA,"Atlantique",NA,NA,"UNKNOWN","LSF/UAC1025","Insecta",216,"Lama, Atlantique, Benin, AFRICA","UAC","AFRICA","Benin",130,NA,"5e1d2d54-f5db-43ac-87c5-55a9f79ac718",NA,NA,NA,NA,"2014-04-01T00:00:00",NA,"Crambidae",8841,NA,"Benin","1042784307","Chilo","Chilo",1883132,"WGS84",NA,"Zones forestières, savanes,, zones humides, espaces agricoles",NA,NA,NA,NA,NA,NA,"Georg GOERGEN, Pascal DUPONT, Peter NEUENSCHWANDER","1025",NA,"842b6a28-624a-4ddc-a96e-04d0ce819fce","Laboratoire des Sciences Forestières (LSF/UAC)","BJ",1042784307,"Animalia",1,NA,"2020-08-28T21:17:56.666+0000","2020-09-01T16:10:15.203+0000","2020-09-01T16:10:15.203+0000",6.9166,"http://creativecommons.org/publicdomain/zero/1.0/legalcode",NA,"Lama",NA,2.1666,NA,4,NA,"1025",NA,"PRESENT","Lepidoptera",797,NA,NA,"Arthropoda",54,NA,"DWC_ARCHIVE","BJ","b2db85d5-c5fe-4125-9e36-590a5f651829",NA,NA,NA,"Exhaustive field exploration","Chilo partellus Swinhoe, 1885",NA,"Chilo partellus",1883200,"partellus",NA,NA,1883200,"ACCEPTED","SPECIES",NA,NA,2014,2020-10-16,TRUE
"29","Chilo partellus Swinhoe, 1885",1883200,NA,"Atacora",NA,NA,"UNKNOWN","LSF/UAC1024","Insecta",216,"Goutansoukpa, Atacora, Benin, AFRICA","UAC","AFRICA","Benin",130,NA,"5e1d2d54-f5db-43ac-87c5-55a9f79ac718",NA,NA,NA,NA,"2014-04-01T00:00:00",NA,"Crambidae",8841,NA,"Benin","1042784310","Chilo","Chilo",1883132,"WGS84",NA,"Zones forestières, savanes,, zones humides, espaces agricoles",NA,NA,NA,NA,NA,NA,"Georg GOERGEN, Pascal DUPONT, Peter NEUENSCHWANDER","1024",NA,"842b6a28-624a-4ddc-a96e-04d0ce819fce","Laboratoire des Sciences Forestières (LSF/UAC)","BJ",1042784310,"Animalia",1,NA,"2020-08-28T21:17:56.666+0000","2020-09-01T16:10:15.201+0000","2020-09-01T16:10:15.201+0000",9.7,"http://creativecommons.org/publicdomain/zero/1.0/legalcode",NA,"Goutansoukpa",NA,1.6666,NA,4,NA,"1024",NA,"PRESENT","Lepidoptera",797,NA,NA,"Arthropoda",54,NA,"DWC_ARCHIVE","BJ","b2db85d5-c5fe-4125-9e36-590a5f651829",NA,NA,NA,"Exhaustive field exploration","Chilo partellus Swinhoe, 1885",NA,"Chilo partellus",1883200,"partellus",NA,NA,1883200,"ACCEPTED","SPECIES",NA,NA,2014,2020-10-16,TRUE
"30","Chilo partellus Swinhoe, 1885",1883200,NA,"Atacora",NA,NA,"UNKNOWN","LSF/UAC1027","Insecta",216,"Pénéssoulou, Atacora, Benin, AFRICA","UAC","AFRICA","Benin",130,NA,"5e1d2d54-f5db-43ac-87c5-55a9f79ac718",NA,NA,NA,NA,"2014-04-01T00:00:00",NA,"Crambidae",8841,NA,"Benin","1042784319","Chilo","Chilo",1883132,"WGS84",NA,"Zones forestières, savanes,, zones humides, espaces agricoles",NA,NA,NA,NA,NA,NA,"Georg GOERGEN, Pascal DUPONT, Peter NEUENSCHWANDER","1027",NA,"842b6a28-624a-4ddc-a96e-04d0ce819fce","Laboratoire des Sciences Forestières (LSF/UAC)","BJ",1042784319,"Animalia",1,NA,"2020-08-28T21:17:56.666+0000","2020-09-01T16:10:15.197+0000","2020-09-01T16:10:15.197+0000",9.25,"http://creativecommons.org/publicdomain/zero/1.0/legalcode",NA,"Pénéssoulou",NA,1.55,NA,4,NA,"1027",NA,"PRESENT","Lepidoptera",797,NA,NA,"Arthropoda",54,NA,"DWC_ARCHIVE","BJ","b2db85d5-c5fe-4125-9e36-590a5f651829",NA,NA,NA,"Exhaustive field exploration","Chilo partellus Swinhoe, 1885",NA,"Chilo partellus",1883200,"partellus",NA,NA,1883200,"ACCEPTED","SPECIES",NA,NA,2014,2020-10-16,TRUE
"31","Chilo partellus Swinhoe, 1885",1883200,NA,"Atlantique",NA,NA,"UNKNOWN","LSF/UAC1026","Insecta",216,"Niaouli, Atlantique, Benin, AFRICA","UAC","AFRICA","Benin",130,NA,"5e1d2d54-f5db-43ac-87c5-55a9f79ac718",NA,NA,NA,NA,"2014-04-01T00:00:00",NA,"Crambidae",8841,NA,"Benin","1042784320","Chilo","Chilo",1883132,"WGS84",NA,"Zones forestières, savanes,, zones humides, espaces agricoles",NA,NA,NA,NA,NA,NA,"Georg GOERGEN, Pascal DUPONT, Peter NEUENSCHWANDER","1026",NA,"842b6a28-624a-4ddc-a96e-04d0ce819fce","Laboratoire des Sciences Forestières (LSF/UAC)","BJ",1042784320,"Animalia",1,NA,"2020-08-28T21:17:56.666+0000","2020-09-01T16:10:15.198+0000","2020-09-01T16:10:15.198+0000",6.7333,"http://creativecommons.org/publicdomain/zero/1.0/legalcode",NA,"Niaouli",NA,2.1333,NA,4,NA,"1026",NA,"PRESENT","Lepidoptera",797,NA,NA,"Arthropoda",54,NA,"DWC_ARCHIVE","BJ","b2db85d5-c5fe-4125-9e36-590a5f651829",NA,NA,NA,"Exhaustive field exploration","Chilo partellus Swinhoe, 1885",NA,"Chilo partellus",1883200,"partellus",NA,NA,1883200,"ACCEPTED","SPECIES",NA,NA,2014,2020-10-16,TRUE
