"phylum","class","order","family","genus","species","country","adm1","lon","lat"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Austria","Steiermark","15.85597","46.873329"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Cyprus","Limassol","32.731999","34.655003"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Egypt","Alexandria","29.9496","31.204"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Egypt","Al Qahirah","31.297088","30.101011"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Egypt","Al Qahirah","31.297154","30.100996"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Egypt",NA,"31.4","30.16"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Egypt",NA,"31.4","30.16"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Egypt",NA,"31.4","30.16"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Egypt",NA,"31.4","30.16"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Egypt",NA,"31.4","30.16"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Egypt",NA,"31.4","30.16"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Egypt",NA,"31.4","30.16"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Egypt",NA,"31.4","30.16"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Egypt",NA,"31.4","30.16"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Egypt",NA,"31.4","30.16"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Egypt",NA,"31.4","30.16"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Egypt",NA,"31.4","30.16"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Egypt",NA,"31.4","30.16"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Egypt",NA,"31.4","30.16"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Egypt",NA,"31.4","30.16"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Egypt",NA,"31.4","30.16"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Egypt",NA,"31.4","30.16"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Egypt",NA,"31.4","30.16"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Egypt",NA,"31.4","30.16"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Egypt",NA,"31.4","30.16"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Egypt",NA,"31.4","30.16"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Egypt",NA,"31.4","30.16"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Egypt",NA,"31.4","30.16"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Egypt",NA,"31.4","30.16"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Egypt","Al Qahirah","31.489855","30.058005"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","France",NA,"3.047","50.63186"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","France","Languedoc-Roussillon","3.758723","43.445474"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","France",NA,"3.9","43.599998"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","France",NA,"4.85067","45.07056"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","France",NA,"5.40825","45.42814"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","France",NA,"5.70863","43.92293"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","France",NA,"6.01939","43.12681"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","France",NA,"7.23793","43.71236"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","France",NA,"8.8139","41.71952"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","France",NA,"9.47399","42.51577"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","France",NA,"9.51299","42.58125"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Greece","Peloponnese, Western Greece and the Ionian Islands","21.128809","37.837276"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Greece","Attica","23.747897","37.885458"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Greece","Crete","23.818828","35.532789"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Greece","Crete","24.057877","35.53272"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Greece",NA,"24.273262","35.357418"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Israel","HaMerkaz","34.910757","32.0373"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Israel","HaZafon","35.098489","32.889076"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Israel",NA,"35.2749","30.8073"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Italy",NA,"8.056068","43.920403"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Italy","Lazio","11.834946","42.039524"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Italy","Lazio","12.487725","41.916163"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Italy","Lazio","13.260062","41.565015"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Italy","Campania","14.366501","40.849107"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Italy","Sicily","15.200255","37.067965"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Italy","Sicily","15.2003","37.067843"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Italy","Sicily","15.200318","37.067846"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Italy","Sicily","15.200318","37.067846"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Italy","Sicily","15.200352","37.067669"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Italy","Sicily","15.20036","37.067773"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Italy","Sicily","15.200485","37.067987"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Italy","Sicily","15.2005","37.068058"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Italy",NA,"15.7203","39.987801"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Morocco",NA,"-8.475952","33.197328"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Netherlands","Zeeland","3.95","51.6"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Spain",NA,"-5.503889","36.079722"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Spain",NA,"-5.503889","36.079722"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Spain",NA,"-5.495995","36.163777"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Spain",NA,"-5.334084","36.20514"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Spain",NA,"-5.2825","36.441389"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Spain","Andalucia","-4.658925","36.548417"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Spain",NA,"-6.377095","36.627195"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Spain","Andalucía","-2.704464","36.691969"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Spain",NA,"-4.700803","36.701648"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Spain",NA,"-3.796609","36.736749"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Spain","An","-6.416113","36.851047"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Spain","An","-6.417779","36.851341"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Spain",NA,"-6.262035","36.89287"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Spain","An","-6.510356","36.970626"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Spain","An","-6.495","36.976"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Spain","Andalucía","-3.118188","36.980078"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Spain","An","-6.482064","36.986004"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Spain","An","-6.482064","36.986004"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Spain","An","-6.441","36.987"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Spain","An","-6.55487","37.02232"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Spain","Andalucía","-5.931381","37.292734"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Spain","Andalucía","-5.806746","37.475131"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Spain","Andalucía","-5.395632","37.524292"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Spain","Murcia","-1.14369","37.929"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Spain","Comunidad Valenciana, Valencian Community","-0.673908","37.990186"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Spain","Comunidad Valenciana, Valencian Community","-0.673908","37.990186"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Spain","Comunidad Valenciana","-0.661806","38.021124"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Spain","Comunidad Valenciana","-0.658922","38.024755"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Spain","Comunidad Valenciana","-0.665597","38.0253"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Spain","Alicante","-0.6","38.3"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Spain","Alicante","-0.41","38.57"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Spain","Comunidad Valenciana","0.10604","38.727489"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Spain","Alicante","-0.36","38.8"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Spain","Comunidad Valenciana","0.01222","38.862083"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Spain","Comunidad Valenciana","-0.185893","38.995528"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Spain","Valencia","-0.55","39.23"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Spain","Valencia","-0.35","39.31"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Spain",NA,"3.430234","39.645849"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Spain","Valencia","-0.26","39.74"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Spain","Castellon","0.17","40.16"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Spain","Cataluña","1.974513","41.276182"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera littoralis","Turkey","Mersin","34.261","36.51"
